model,date,field,usd,jpy,source
GPT-4 Turbo,2026-02-25,input,10,1500,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4 Turbo,2026-02-25,output,30,4500,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4o,2026-02-25,input,5,750,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4o,2026-02-25,output,15,2250,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-3.5 Turbo,2026-02-25,input,0.5,75,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-3.5 Turbo,2026-02-25,output,1.5,225,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4 32K,2026-02-25,input,60,9000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4 32K,2026-02-25,output,120,18000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4 8K,2026-02-25,input,30,4500,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4 8K,2026-02-25,output,60,9000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Claude 3.5 Sonnet,2026-02-25,input,3,450,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Claude 3.5 Sonnet,2026-02-25,output,15,2250,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Claude 3 Haiku,2026-02-25,input,0.25,37.5,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Claude 3 Haiku,2026-02-25,output,1.25,187.5,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Claude 3 Sonnet,2026-02-25,input,3,450,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Claude 3 Sonnet,2026-02-25,output,15,2250,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Claude 3 Opus,2026-02-25,input,15,2250,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Claude 3 Opus,2026-02-25,output,75,11250,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
DeepSeek V3.2 Reasoner,2026-02-25,input,0.28,42,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
DeepSeek V3.2 Reasoner,2026-02-25,output,0.42,63,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
DeepSeek V3.2 Chat,2026-02-25,input,0.28,42,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
DeepSeek V3.2 Chat,2026-02-25,output,0.42,63,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-3.5 Turbo Instruct,2026-02-25,input,1.5,225,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-3.5 Turbo Instruct,2026-02-25,output,2,300,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-3.5 Turbo 0125,2026-02-25,input,0.5,75,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-3.5 Turbo 0125,2026-02-25,output,1.5,225,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4,2026-02-25,input,30,4500,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
GPT-4,2026-02-25,output,60,9000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
Babbage 002,2026-02-25,input,0.4,60,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json
